1.5,0.9808,0.9776,0.9744,0.9712,0.9712,0.9584,0.9744,0.9648,0.9872,0.968,0.984,0.9808,0.9872,0.9808,0.968,0.9552,1,0.9712,0.9616,0.968,1,0.936,0.9744,0.9872,0.9808,0.9776,0.9872,1,0.9776,0.9872,0.9872,0.9872,0.9872,0.9616,0.9808
1.6,0.9936,0.9616,0.9328,0.9808,0.9936,0.9616,0.9744,0.9712,0.9808,0.968,0.968,0.9648,0.9808,0.9808,0.9712,0.9744,0.9552,0.9648,0.9712,0.9584,0.9808,0.9584,0.9936,0.9648,0.9616,0.9488,0.9648,0.968,0.968,0.9584,0.9808,0.9808,0.9776,0.9808,0.9712
1.7,0.9552,0.9584,0.9552,0.9264,0.9424,0.952,0.9168,0.9584,0.9488,0.9424,0.9616,0.936,0.952,0.9296,0.968,0.952,0.9328,0.952,0.9456,0.9552,0.904,0.968,0.9744,0.9584,0.9616,0.9584,0.952,0.9584,0.9552,0.9328,0.9456,0.9296,0.9808,0.9584,0.9552
1.8,0.92,0.9488,0.9328,0.968,0.8912,0.888,0.8528,0.9424,0.9392,0.9104,0.9488,0.952,0.9712,0.904,0.9264,0.9232,0.9168,0.9392,0.9072,0.9776,0.9264,0.8912,0.968,0.904,0.904,0.8752,0.9424,0.8976,0.9296,0.9232,0.904,0.8912,0.9808,0.9264,0.8912
1.9,0.8944,0.9616,0.9488,0.9168,0.904,0.8848,0.8496,0.8944,0.9392,0.8752,0.8912,0.8688,0.9008,0.8656,0.9232,0.9168,0.808,0.9328,0.9264,0.9424,0.8944,0.8784,0.9104,0.9168,0.9264,0.8656,0.9424,0.9328,0.9136,0.888,0.9456,0.8784,0.92,0.8464,0.8848
2,0.9136,0.8368,0.8592,0.8944,0.9104,0.8624,0.8688,0.92,0.8432,0.856,0.904,0.8432,0.8368,0.824,0.9392,0.8528,0.9104,0.8496,0.8272,0.8592,0.8016,0.9392,0.904,0.8208,0.8592,0.8848,0.8784,0.8976,0.8784,0.8336,0.904,0.888,0.84,0.8752,0.8592
2.1,0.8752,0.7856,0.8144,0.776,0.824,0.7984,0.7376,0.8464,0.888,0.8304,0.7696,0.8304,0.8784,0.84,0.872,0.7856,0.8752,0.8336,0.8528,0.8144,0.8112,0.8368,0.7632,0.8272,0.7696,0.7792,0.7984,0.8176,0.8272,0.8336,0.856,0.8528,0.888,0.8496,0.7536
2.2,0.7984,0.8272,0.7728,0.8144,0.8368,0.8816,0.7312,0.7888,0.8048,0.776,0.7248,0.7824,0.7888,0.7472,0.7952,0.6864,0.8048,0.7888,0.7664,0.8208,0.76,0.8016,0.7984,0.7984,0.7824,0.8048,0.7216,0.8784,0.76,0.7952,0.7984,0.7792,0.6672,0.6736,0.7952
2.3,0.6864,0.76,0.6736,0.6768,0.6672,0.7664,0.7088,0.696,0.7472,0.5808,0.7056,0.6992,0.6544,0.7376,0.84,0.632,0.76,0.568,0.5264,0.7216,0.6864,0.6608,0.6032,0.6992,0.728,0.776,0.7344,0.6992,0.6704,0.7056,0.696,0.5936,0.6608,0.5904,0.7152
2.4,0.6224,0.6832,0.5808,0.6512,0.5648,0.6896,0.6416,0.616,0.6192,0.4912,0.5968,0.568,0.6128,0.5712,0.6352,0.6,0.632,0.6544,0.5872,0.568,0.6352,0.5328,0.616,0.488,0.5136,0.648,0.664,0.5808,0.6864,0.6448,0.6064,0.568,0.6192,0.6032,0.552
